Field,Complete entries (total),Complete entries (proportion),Mean,Standard deviation,Median,Q1,Q3,Minimum,Maximum
value1_condition,2430669,24.53%,74.19,2752.76,33.2,5,86,-19108,1040000
value2_condition,96127,0.97%,78.11,12.24,78,70,85,0,999
